ingredient_name,ingredient_type_id
onion,3
garlic clove,3
coriander,7
berbere spice,8
tomato paste,10
honey,10
apple cider vinegar,10
olive oil,9
carrots,3
tinned chickpeas,10
chicken thigh,1
oranges,4
salt,12
black pepper,8
salmon fillet,2
zaatar,8
sumac,8
baby spinach,3
tahini,10
lemon juice,4
basmati rice,5
unsalted butter,6
boiling water,13
mint,7
feta,6
pitted green olives,13
pomegranate seeds,4
walnut,11
pomegranate molasses,10
cherry tomato,3
shallots,3
thyme,7
cinnamon stick,8
potato,3
flaked salt,12
tinned tuna,2
chives,7
basil,7
double cream,6
parmesan,6
tomato,3
orange,4
filo,5
caster sugar,10
greek yoghurt,6
egg,6
baking powder,10
vanilla extract,10
wholemeal spelt flour,5
wholemeal plain flour,5
ground cinnamon,8
maple syrup,10
milk,6
frozen blueberry,4
ginger,3
green chilli,3
aubergine,3
spring onion,3
lime,4
tamarind paste,10
miso,10
dijon mustard,10
pork joint,1
chicken stock,10
balsamic vinegar,10
tinned butter beans,10
butter,6
parsley,7
oregano,7
dill,7
fennel bulb,3
fennel seeds,8
chilli flake,8
salt flake,12
dried mushroom,3
mushroom,3
celery ,3
leek,3
bay leaves,7
vegetable stock,10
small mushroom,3
single cream,6
dry sherry,13
