recipe_name,prep_time,cooking_time,cooking_date,cookbook_id
berbere spiced chicken,00:25:00,01:25:00,2025-10-12,1
zaatar salmon,00:05:00,00:20:00,2025-11-27,1
baked mint rice,00:05:00,00:25:00,2025-11-27,2
baked rice with tomato and garlic,00:15:00,01:40:00,2026-03-26,2
tv chips,00:10:00,00:55:00,2026-04-04,3
portokalopita,01:30:00,01:20:00,2026-04-02,4
blueberry muffins,00:10:00,00:30:00,2026-04-15,5
roasted aubergine,00:10:00,01:00:00,2026-04-10,6
roast pork,00:10:00,02:00:00,2026-04-17,7
baked fennel,00:10:00,00:40:00,2026-02-20,8
wild mushroom & walnut soup,00:20:00,01:45:00,2025-12-22,9
