ingredient_id,stock_quantity,unit_id,is_available
1,1,7,1
2,6,8,1
3,45,1,1
4,2.5,6,1
5,2,6,1
6,2.5,6,1
7,3,6,1
8,90,3,1
9,800,1,1
10,2,10,1
11,8,9,1
12,3,7,1
13,0.1,5,1
14,0.1,5,1
15,4,9,1
16,15,1,1
17,10,1,1
18,250,1,1
19,90,1,1
20,3.5,6,1
21,400,1,1
22,50,1,1
23,800,3,1
24,50,1,1
25,150,1,0
26,40,1,1
27,90,1,1
28,50,1,1
29,1,6,1
30,800,1,1
31,220,1,1
32,20,1,1
33,4,7,1
34,1,2,1
35,2,5,1
36,160,1,1
37,5,1,1
38,5,1,1
39,4,6,1
40,15,1,1
41,2,7,1
42,2,7,1
43,500,1,1
44,400,1,1
45,250,1,1
46,5,7,1
47,1,6,1
48,1,5,1
49,140,1,1
50,150,1,0
51,1,5,1
52,180,3,1
53,80,3,1
54,375,1,1
55,15,1,1
56,2,7,1
57,2,7,1
58,4,7,1
59,1,7,1
60,1,6,1
61,3,6,1
62,2,6,0
63,1.3,2,1
64,500,3,1
65,2,6,1
66,400,1,1
67,20,1,1
68,10,1,1
69,5,1,1
70,5,1,1
71,4,7,1
72,3,5,1
73,3,5,1
74,0.1,5,1
75,25,1,1
76,110,1,1
77,2,7,1
78,1,7,1
79,2,7,1
80,2,4,1
81,225,1,1
82,75,3,1
83,75,3,1
